StoreKey,GeographyKey,StoreManager,StoreType,StoreName,StoreDescription,Status,OpenDate,CloseDate,EntityKey,ZipCode,ZipCodeExtension,StorePhone,StoreFax,AddressLine1,AddressLine2,CloseReason,EmployeeCount,SellingAreaSize,LastRemodelDate,GeoLocation,Geometry,ETLLoadID,LoadDate,UpdateDate
97,863,115,"Store","Contoso Lewisville Store","Contoso Lewisville Store","On",2003-04-02 00:00:00.000,,731,"75201","75209","920-555-0177","920-555-0177","Lewisville, Edeg ST Shopping mall","Lewisville, Edeg ST Shopping mall","",33,560,2009-06-17 00:00:00.000,"POINT (-96.9832 33.0444)","POINT (-96.9832 33.0444)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
100,910,118,"Store","Contoso Plano Store","Contoso Plano Store","On",2003-07-05 00:00:00.000,,734,"75201","75212","148-555-0145","148-555-0145","City North St","City North St","",17,462,2009-06-17 00:00:00.000,"POINT (-96.7724 33.0605)","POINT (-96.7724 33.0605)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
102,875,119,"Store","Contoso Miami No.2 Store","Contoso Miami No.2 Store","On",2003-09-07 00:00:00.000,,736,"33128","33136","391-555-0138","391-555-0138","NW 8th St","NW 8th St","",25,700,2009-06-17 00:00:00.000,"POINT (-80.1878 25.7736)","POINT (-80.1878 25.7736)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
105,937,121,"Store","Contoso Tallahassee No.2 Store","Contoso Tallahassee No.2 Store","On",2003-11-29 00:00:00.000,,739,"32301","32303","768-555-0123","768-555-0123","Thomasville Rd","Thomasville Rd","",33,560,2009-06-17 00:00:00.000,"POINT (-84.3156 30.4469)","POINT (-84.3156 30.4469)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
107,926,123,"Store","Contoso Sebring Store","Contoso Sebring Store","On",2003-02-12 00:00:00.000,,741,"33870","33871","166-555-0159","166-555-0159","601-669 N Ping St","601-669 N Ping St","",22,500,2009-06-17 00:00:00.000,"POINT (-81.4454 27.5)","POINT (-81.4454 27.5)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
110,899,126,"Store","Contoso Orlando Store","Contoso Orlando Store","On",2003-02-15 00:00:00.000,,744,"32803","32803","476-555-0119","476-555-0119","1400-1598 FL-50 St","1400-1598 FL-50 St","",25,700,2009-06-17 00:00:00.000,"POINT (-81.3675 28.558)","POINT (-81.3675 28.558)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
115,890,131,"Store","Contoso New York No.1 Store","Contoso New York No.1 Store","On",2004-03-01 00:00:00.000,,749,"10018","10018","571-555-0179","571-555-0179","W 40th St","W 40th St","",22,500,2009-06-17 00:00:00.000,"POINT (-73.9902 40.7597)","POINT (-73.9902 40.7597)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
117,890,131,"Store","Contoso New York No.2 Store","Contoso New York No.2 Store","On",2005-05-15 00:00:00.000,,751,"10018","10018","540-555-0191","540-555-0191","Kips Bay St","Kips Bay St","",25,700,2009-06-17 00:00:00.000,"POINT (-73.9922 40.7197)","POINT (-73.9922 40.7197)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
120,911,139,"Store","Contoso Plattsburgh Store","Contoso Plattsburgh Store","On",2004-08-18 00:00:00.000,,754,"12901","12901","727-555-0112","727-555-0112","Brinkerhoff St","Brinkerhoff St","",33,560,2009-06-17 00:00:00.000,"POINT (-73.4585 44.6957)","POINT (-73.4585 44.6957)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
122,902,141,"Store","Contoso Oswego Store","Contoso Oswego Store","On",2004-10-20 00:00:00.000,,756,"13126","13126","785-555-0110","785-555-0110","East River St","East River St","",22,500,2009-06-17 00:00:00.000,"POINT (-76.5057 43.4529)","POINT (-76.5057 43.4529)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
125,916,143,"Store","Contoso Queens Store","Contoso Queens Store","On",2006-01-23 00:00:00.000,,759,"11432","11432","150-555-0194","150-555-0194","St Johns Downtown","St Johns Downtown","",25,700,2009-06-17 00:00:00.000,"POINT (-73.7993 40.7358)","POINT (-73.7993 40.7358)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
127,912,145,"Store","Contoso Poestenkill Store","Contoso Poestenkill Store","On",2004-01-25 00:00:00.000,,761,"12140","12140","712-555-0113","712-555-0113","Rensselaer County St","Rensselaer County St","",19,455,2009-06-17 00:00:00.000,"POINT (-73.565 42.6909)","POINT (-73.565 42.6909)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
130,891,147,"Store","Contoso Newark No.1 Store","Contoso Newark No.1 Store","On",2004-08-28 00:00:00.000,,764,"7102","7102","119-555-0192","119-555-0192","Halsey St","Halsey St","",22,500,2009-06-17 00:00:00.000,"POINT (-74.1732 40.7376)","POINT (-74.1732 40.7376)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
132,854,148,"Store","Contoso Jersey City Store","Contoso Jersey City Store","On",2004-11-02 00:00:00.000,,766,"7304","7304","205-555-0132","205-555-0132","76 Boyd Ave St","76 Boyd Ave St","",25,700,2009-06-17 00:00:00.000,"POINT (-74.0825 40.722)","POINT (-74.0825 40.722)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
135,820,151,"Store","Contoso East Orange Store","Contoso East Orange Store","On",2004-02-15 00:00:00.000,,769,"7017","7017","935-555-0199","935-555-0199","N Arlington Ave","N Arlington Ave","",19,455,2009-06-17 00:00:00.000,"POINT (-74.2104 40.77)","POINT (-74.2104 40.77)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
137,797,153,"Store","Contoso Bayonne Store","Contoso Bayonne Store","On",2004-04-17 00:00:00.000,,771,"7002","7002","500-555-0159","500-555-0159","E 31st St","E 31st St","",47,1125,2009-06-17 00:00:00.000,"POINT (-74.1107 40.6733)","POINT (-74.1107 40.6733)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
140,842,156,"Store","Contoso Hackensack Store","Contoso Hackensack Store","On",2004-07-20 00:00:00.000,,774,"7601","7601","352-555-0138","352-555-0138","237 State St","237 State St","",25,700,2009-06-17 00:00:00.000,"POINT (-74.0508 40.8887)","POINT (-74.0508 40.8887)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
142,880,158,"Store","Contoso Montclair Store","Contoso Montclair Store","On",2004-09-22 00:00:00.000,,776,"7042","7042","955-555-0169","955-555-0169","Valley St","Valley St","",19,455,2009-06-17 00:00:00.000,"POINT (-74.2151 40.8273)","POINT (-74.2151 40.8273)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
145,808,161,"Store","Contoso Cape May Store","Contoso Cape May Store","On",2004-12-02 00:00:00.000,,779,"8204","8204","615-555-0110","615-555-0110","Delaware Ave St","Delaware Ave St","",22,500,2009-06-17 00:00:00.000,"POINT (-74.9046 38.9407)","POINT (-74.9046 38.9407)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
147,952,163,"Store","Contoso Worcester No.1 Store","Contoso Worcester No.1 Store","On",2004-10-17 00:00:00.000,,781,"1608","1608","441-555-0195","441-555-0195","99 Central St","99 Central St","",25,700,2009-06-17 00:00:00.000,"POINT (-71.8011 42.2768)","POINT (-71.8011 42.2768)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
150,789,165,"Store","Contoso Attleboro Store","Contoso Attleboro Store","On",2004-02-20 00:00:00.000,,784,"2703","2703","589-555-0147","589-555-0147","Thacher Downtown","Thacher Downtown","",19,455,2009-06-17 00:00:00.000,"POINT (-71.292 41.9383)","POINT (-71.292 41.9383)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
152,861,167,"Store","Contoso Leominster Store","Contoso Leominster Store","On",2004-02-22 00:00:00.000,,786,"1453","1453","678-555-0110","678-555-0110","101 Union St Shopping mall","101 Union St Shopping mall","",47,1125,2009-06-17 00:00:00.000,"POINT (-71.7692 42.5212)","POINT (-71.7692 42.5212)",1,2008-12-10 00:00:00.000,2009-06-17 00:00:00.000
155,832,170,"Store","Contoso Framingham Store","Contoso Framingham Store","On",2004-03-19 00:00:00.000,,789,"1701","1701","182-555-0134","182-555-0134","29 Woodlan St","29 Woodlan St","",25,700,2009-06-17 00:00:00.000,"POINT (-71.4372 42.3118)","POINT (-71.4372 42.3118)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
157,931,172,"Store","Contoso Somerville Store","Contoso Somerville Store","On",2004-05-21 00:00:00.000,,791,"2145","2145","587-555-0114","587-555-0114","Pembroke St","Pembroke St","",26,680,2009-06-17 00:00:00.000,"POINT (-122.336 47.6136)","POINT (-122.336 47.6136)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
160,895,175,"Store","Contoso Northampton Store","Contoso Northampton Store","On",2004-08-24 00:00:00.000,,794,"1062","1062","806-555-0136","806-555-0136","Florence Rd Shopping mall","Florence Rd Shopping mall","",47,1125,2009-06-17 00:00:00.000,"POINT (-72.679 42.3309)","POINT (-72.679 42.3309)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
165,883,180,"Store","Contoso Nantucket Store","Contoso Nantucket Store","On",2004-11-06 00:00:00.000,,799,"2554","2554","810-555-0178","810-555-0178","8 Washington St","8 Washington St","",19,455,2009-06-17 00:00:00.000,"POINT (-70.0998 41.2837)","POINT (-70.0998 41.2837)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
167,796,182,"Store","Contoso Bar Harbor Store","Contoso Bar Harbor Store","On",2004-02-18 00:00:00.000,,801,"4609","4609","746-555-0164","746-555-0164","Ledgelawn Ave","Ledgelawn Ave","",47,1125,2009-06-17 00:00:00.000,"POINT (-68.2052 44.3943)","POINT (-68.2052 44.3943)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
170,900,185,"Store","Contoso Orono Store","Contoso Orono Store","On",2004-02-21 00:00:00.000,,804,"4473","4473","309-555-0170","309-555-0170","Pleasant St","Pleasant St","",25,700,2009-06-17 00:00:00.000,"POINT (-68.6728 44.8848)","POINT (-68.6728 44.8848)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
172,843,187,"Store","Contoso Hartford Store","Contoso Hartford Store","On",2004-01-17 00:00:00.000,,806,"6103","6103","117-555-0185","117-555-0185","Asylum St Shopping mall","Asylum St Shopping mall","",26,680,2009-06-17 00:00:00.000,"POINT (-72.6732 41.7675)","POINT (-72.6732 41.7675)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
175,896,190,"Store","Contoso Old Saybrook Store","Contoso Old Saybrook Store","On",2004-04-20 00:00:00.000,,809,"6475","6475","100-555-0174","100-555-0174","18 W King Rd","18 W King Rd","",47,1125,2009-06-17 00:00:00.000,"POINT (-72.3913 41.2925)","POINT (-72.3913 41.2925)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
177,888,192,"Store","Contoso New Haven Store","Contoso New Haven Store","On",2004-06-22 00:00:00.000,,811,"6511","6511","118-555-0177","118-555-0177","Lynwood PI Downtown","Lynwood PI Downtown","",17,462,2009-06-17 00:00:00.000,"POINT (-72.9314 41.3121)","POINT (-72.9314 41.3121)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
180,892,195,"Store","Contoso Norfolk Store","Contoso Norfolk Store","On",2004-08-25 00:00:00.000,,814,"23504","23504","712-555-0170","712-555-0170","Wide St Shopping mall","Wide St Shopping mall","",26,680,2009-06-17 00:00:00.000,"POINT (-76.2781 36.8631)","POINT (-76.2781 36.8631)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
182,951,197,"Store","Contoso Winchester Store","Contoso Winchester Store","On",2004-11-27 00:00:00.000,,816,"22601","22601","654-555-0177","654-555-0177","Handley St Shopping mall","Handley St Shopping mall","",33,560,2009-06-17 00:00:00.000,"POINT (-78.1715 39.1782)","POINT (-78.1715 39.1782)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
185,921,199,"Store","Contoso Roanoke Store","Contoso Roanoke Store","On",2004-10-17 00:00:00.000,,819,"24011","24011","559-555-0175","559-555-0175","Salem Ave SE StShopping mall","Salem Ave SE StShopping mall","",17,462,2009-06-17 00:00:00.000,"POINT (-79.9448 37.2762)","POINT (-79.9448 37.2762)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
187,833,201,"Store","Contoso Fredericksburg Store","Contoso Fredericksburg Store","On",2004-02-19 00:00:00.000,,821,"22401","22401","319-555-0126","319-555-0126","Beverly St Shopping mall","Beverly St Shopping mall","",26,680,2009-06-17 00:00:00.000,"POINT (-77.4859 38.2975)","POINT (-77.4859 38.2975)",1,2009-05-10 00:00:00.000,2009-06-17 00:00:00.000
190,810,204,"Store","Contoso Charleston Store","Contoso Charleston Store","On",2004-02-22 00:00:00.000,,824,"29406","29406","552-555-0111","552-555-0111","Rockingham St Shopping mall","Rockingham St Shopping mall","",47,1125,2009-06-17 00:00:00.000,"POINT (-79.9406 32.8023)","POINT (-79.9406 32.8023)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
192,794,206,"Store","Contoso Baltimore Store","Contoso Baltimore Store","On",2004-02-18 00:00:00.000,,826,"21201","21201","508-555-0129","508-555-0129","Pleasant St","Pleasant St","",17,460,2009-06-17 00:00:00.000,"POINT (-76.6145 39.3067)","POINT (-76.6145 39.3067)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
195,915,209,"Store","Contoso Queen Anne's County Store","Contoso Queen Anne's County Store","On",2004-05-21 00:00:00.000,,829,"21617","21617","106-555-0120","106-555-0120","Tilghman Neck St Shopping mall","Tilghman Neck St Shopping mall","",26,680,2009-06-17 00:00:00.000,"POINT (-76.1407 39.0384)","POINT (-76.1407 39.0384)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
197,792,211,"Store","Contoso Back River Store","Contoso Back River Store","On",2004-07-23 00:00:00.000,,831,"21219","21219","955-555-0131","955-555-0131","Back River St Shopping mall","Back River St Shopping mall","",33,560,2009-06-17 00:00:00.000,"POINT (-76.497 39.3046)","POINT (-76.497 39.3046)",1,2009-07-06 00:00:00.000,2009-06-17 00:00:00.000
202,748,220,"Store","Contoso Edinburgh Store","Contoso Edinburgh Store","On",2004-08-02 00:00:00.000,,834,"","","296-555-0121","296-555-0121","Princes St Edinburgh, Midlothian Shopping mall, United Kingdom","Princes St Edinburgh, Midlothian Shopping mall, United Kingdom","",25,700,2009-06-17 00:00:00.000,"POINT (-3.19015 55.9561)","POINT (-3.19015 55.9561)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
205,742,223,"Store","Contoso Carlisle Store","Contoso Carlisle Store","On",2004-05-18 00:00:00.000,,837,"","","165-555-0113","165-555-0113","Citycenter  Botchergate Carlisle, UK","Citycenter  Botchergate Carlisle, UK","",23,680,2009-06-17 00:00:00.000,"POINT (-2.93472 54.8964)","POINT (-2.93472 54.8964)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
207,755,225,"Store","Contoso Lancashire Store","Contoso Lancashire Store","On",2004-07-20 00:00:00.000,,839,"","","393-555-0186","393-555-0186","Rochdale Rd Todmorden, Lancashire Shopping mall, United Kingdom","Rochdale Rd Todmorden, Lancashire Shopping mall, United Kingdom","",36,680,2009-06-17 00:00:00.000,"POINT (-2.71362 53.8849)","POINT (-2.71362 53.8849)",1,2009-07-10 00:00:00.000,2009-06-17 00:00:00.000
