Datekey,Year,Month,Month Name,Start of Month,Quarter,Quarter Name,Week of Year,Start of Week,Day of Week,Day Name,Weekend Flag,IsWeekend
2020-09-21 00:00:00.000,2020,9,"September",2020-09-01 00:00:00.000,3,"3Q",39,2020-09-20 00:00:00.000,1,"Mon",0,"Workday"
2020-09-28 00:00:00.000,2020,9,"September",2020-09-01 00:00:00.000,3,"3Q",40,2020-09-27 00:00:00.000,1,"Mon",0,"Workday"
2021-07-05 00:00:00.000,2021,7,"July",2021-07-01 00:00:00.000,3,"3Q",28,2021-07-04 00:00:00.000,1,"Mon",0,"Workday"
2021-07-12 00:00:00.000,2021,7,"July",2021-07-01 00:00:00.000,3,"3Q",29,2021-07-11 00:00:00.000,1,"Mon",0,"Workday"
2021-07-19 00:00:00.000,2021,7,"July",2021-07-01 00:00:00.000,3,"3Q",30,2021-07-18 00:00:00.000,1,"Mon",0,"Workday"
2021-07-26 00:00:00.000,2021,7,"July",2021-07-01 00:00:00.000,3,"3Q",31,2021-07-25 00:00:00.000,1,"Mon",0,"Workday"
2021-08-02 00:00:00.000,2021,8,"August",2021-08-01 00:00:00.000,3,"3Q",32,2021-08-01 00:00:00.000,1,"Mon",0,"Workday"
2021-08-09 00:00:00.000,2021,8,"August",2021-08-01 00:00:00.000,3,"3Q",33,2021-08-08 00:00:00.000,1,"Mon",0,"Workday"
2021-08-16 00:00:00.000,2021,8,"August",2021-08-01 00:00:00.000,3,"3Q",34,2021-08-15 00:00:00.000,1,"Mon",0,"Workday"
2021-08-23 00:00:00.000,2021,8,"August",2021-08-01 00:00:00.000,3,"3Q",35,2021-08-22 00:00:00.000,1,"Mon",0,"Workday"
2021-08-30 00:00:00.000,2021,8,"August",2021-08-01 00:00:00.000,3,"3Q",36,2021-08-29 00:00:00.000,1,"Mon",0,"Workday"
2021-09-06 00:00:00.000,2021,9,"September",2021-09-01 00:00:00.000,3,"3Q",37,2021-09-05 00:00:00.000,1,"Mon",0,"Workday"
2021-09-13 00:00:00.000,2021,9,"September",2021-09-01 00:00:00.000,3,"3Q",38,2021-09-12 00:00:00.000,1,"Mon",0,"Workday"
2021-09-20 00:00:00.000,2021,9,"September",2021-09-01 00:00:00.000,3,"3Q",39,2021-09-19 00:00:00.000,1,"Mon",0,"Workday"
2021-09-27 00:00:00.000,2021,9,"September",2021-09-01 00:00:00.000,3,"3Q",40,2021-09-26 00:00:00.000,1,"Mon",0,"Workday"
2022-07-04 00:00:00.000,2022,7,"July",2022-07-01 00:00:00.000,3,"3Q",28,2022-07-03 00:00:00.000,1,"Mon",0,"Workday"
2022-07-11 00:00:00.000,2022,7,"July",2022-07-01 00:00:00.000,3,"3Q",29,2022-07-10 00:00:00.000,1,"Mon",0,"Workday"
2022-07-18 00:00:00.000,2022,7,"July",2022-07-01 00:00:00.000,3,"3Q",30,2022-07-17 00:00:00.000,1,"Mon",0,"Workday"
2022-07-25 00:00:00.000,2022,7,"July",2022-07-01 00:00:00.000,3,"3Q",31,2022-07-24 00:00:00.000,1,"Mon",0,"Workday"
2022-08-01 00:00:00.000,2022,8,"August",2022-08-01 00:00:00.000,3,"3Q",32,2022-07-31 00:00:00.000,1,"Mon",0,"Workday"
2022-08-08 00:00:00.000,2022,8,"August",2022-08-01 00:00:00.000,3,"3Q",33,2022-08-07 00:00:00.000,1,"Mon",0,"Workday"
2022-08-15 00:00:00.000,2022,8,"August",2022-08-01 00:00:00.000,3,"3Q",34,2022-08-14 00:00:00.000,1,"Mon",0,"Workday"
2022-08-22 00:00:00.000,2022,8,"August",2022-08-01 00:00:00.000,3,"3Q",35,2022-08-21 00:00:00.000,1,"Mon",0,"Workday"
2022-08-29 00:00:00.000,2022,8,"August",2022-08-01 00:00:00.000,3,"3Q",36,2022-08-28 00:00:00.000,1,"Mon",0,"Workday"
2022-09-05 00:00:00.000,2022,9,"September",2022-09-01 00:00:00.000,3,"3Q",37,2022-09-04 00:00:00.000,1,"Mon",0,"Workday"
2022-09-12 00:00:00.000,2022,9,"September",2022-09-01 00:00:00.000,3,"3Q",38,2022-09-11 00:00:00.000,1,"Mon",0,"Workday"
2022-09-19 00:00:00.000,2022,9,"September",2022-09-01 00:00:00.000,3,"3Q",39,2022-09-18 00:00:00.000,1,"Mon",0,"Workday"
2022-09-26 00:00:00.000,2022,9,"September",2022-09-01 00:00:00.000,3,"3Q",40,2022-09-25 00:00:00.000,1,"Mon",0,"Workday"
2023-07-03 00:00:00.000,2023,7,"July",2023-07-01 00:00:00.000,3,"3Q",27,2023-07-02 00:00:00.000,1,"Mon",0,"Workday"
2023-07-10 00:00:00.000,2023,7,"July",2023-07-01 00:00:00.000,3,"3Q",28,2023-07-09 00:00:00.000,1,"Mon",0,"Workday"
2023-07-17 00:00:00.000,2023,7,"July",2023-07-01 00:00:00.000,3,"3Q",29,2023-07-16 00:00:00.000,1,"Mon",0,"Workday"
2023-07-24 00:00:00.000,2023,7,"July",2023-07-01 00:00:00.000,3,"3Q",30,2023-07-23 00:00:00.000,1,"Mon",0,"Workday"
2023-07-31 00:00:00.000,2023,7,"July",2023-07-01 00:00:00.000,3,"3Q",31,2023-07-30 00:00:00.000,1,"Mon",0,"Workday"
2023-08-07 00:00:00.000,2023,8,"August",2023-08-01 00:00:00.000,3,"3Q",32,2023-08-06 00:00:00.000,1,"Mon",0,"Workday"
2023-08-14 00:00:00.000,2023,8,"August",2023-08-01 00:00:00.000,3,"3Q",33,2023-08-13 00:00:00.000,1,"Mon",0,"Workday"
2023-08-21 00:00:00.000,2023,8,"August",2023-08-01 00:00:00.000,3,"3Q",34,2023-08-20 00:00:00.000,1,"Mon",0,"Workday"
2023-08-28 00:00:00.000,2023,8,"August",2023-08-01 00:00:00.000,3,"3Q",35,2023-08-27 00:00:00.000,1,"Mon",0,"Workday"
2023-09-04 00:00:00.000,2023,9,"September",2023-09-01 00:00:00.000,3,"3Q",36,2023-09-03 00:00:00.000,1,"Mon",0,"Workday"
2023-09-11 00:00:00.000,2023,9,"September",2023-09-01 00:00:00.000,3,"3Q",37,2023-09-10 00:00:00.000,1,"Mon",0,"Workday"
2023-09-18 00:00:00.000,2023,9,"September",2023-09-01 00:00:00.000,3,"3Q",38,2023-09-17 00:00:00.000,1,"Mon",0,"Workday"
2023-09-25 00:00:00.000,2023,9,"September",2023-09-01 00:00:00.000,3,"3Q",39,2023-09-24 00:00:00.000,1,"Mon",0,"Workday"
2017-04-03 00:00:00.000,2017,4,"April",2017-04-01 00:00:00.000,2,"2Q",14,2017-04-02 00:00:00.000,1,"Mon",0,"Workday"
2017-04-10 00:00:00.000,2017,4,"April",2017-04-01 00:00:00.000,2,"2Q",15,2017-04-09 00:00:00.000,1,"Mon",0,"Workday"
2017-04-17 00:00:00.000,2017,4,"April",2017-04-01 00:00:00.000,2,"2Q",16,2017-04-16 00:00:00.000,1,"Mon",0,"Workday"
2017-04-24 00:00:00.000,2017,4,"April",2017-04-01 00:00:00.000,2,"2Q",17,2017-04-23 00:00:00.000,1,"Mon",0,"Workday"
2017-05-01 00:00:00.000,2017,5,"May",2017-05-01 00:00:00.000,2,"2Q",18,2017-04-30 00:00:00.000,1,"Mon",0,"Workday"
2017-05-08 00:00:00.000,2017,5,"May",2017-05-01 00:00:00.000,2,"2Q",19,2017-05-07 00:00:00.000,1,"Mon",0,"Workday"
2017-05-15 00:00:00.000,2017,5,"May",2017-05-01 00:00:00.000,2,"2Q",20,2017-05-14 00:00:00.000,1,"Mon",0,"Workday"
2017-05-22 00:00:00.000,2017,5,"May",2017-05-01 00:00:00.000,2,"2Q",21,2017-05-21 00:00:00.000,1,"Mon",0,"Workday"
2017-05-29 00:00:00.000,2017,5,"May",2017-05-01 00:00:00.000,2,"2Q",22,2017-05-28 00:00:00.000,1,"Mon",0,"Workday"
2017-06-05 00:00:00.000,2017,6,"June",2017-06-01 00:00:00.000,2,"2Q",23,2017-06-04 00:00:00.000,1,"Mon",0,"Workday"
2017-06-12 00:00:00.000,2017,6,"June",2017-06-01 00:00:00.000,2,"2Q",24,2017-06-11 00:00:00.000,1,"Mon",0,"Workday"
2017-06-19 00:00:00.000,2017,6,"June",2017-06-01 00:00:00.000,2,"2Q",25,2017-06-18 00:00:00.000,1,"Mon",0,"Workday"
2017-06-26 00:00:00.000,2017,6,"June",2017-06-01 00:00:00.000,2,"2Q",26,2017-06-25 00:00:00.000,1,"Mon",0,"Workday"
2018-04-02 00:00:00.000,2018,4,"April",2018-04-01 00:00:00.000,2,"2Q",14,2018-04-01 00:00:00.000,1,"Mon",0,"Workday"
2018-04-09 00:00:00.000,2018,4,"April",2018-04-01 00:00:00.000,2,"2Q",15,2018-04-08 00:00:00.000,1,"Mon",0,"Workday"
2018-04-16 00:00:00.000,2018,4,"April",2018-04-01 00:00:00.000,2,"2Q",16,2018-04-15 00:00:00.000,1,"Mon",0,"Workday"
2018-04-23 00:00:00.000,2018,4,"April",2018-04-01 00:00:00.000,2,"2Q",17,2018-04-22 00:00:00.000,1,"Mon",0,"Workday"
2018-04-30 00:00:00.000,2018,4,"April",2018-04-01 00:00:00.000,2,"2Q",18,2018-04-29 00:00:00.000,1,"Mon",0,"Workday"
2018-05-07 00:00:00.000,2018,5,"May",2018-05-01 00:00:00.000,2,"2Q",19,2018-05-06 00:00:00.000,1,"Mon",0,"Workday"
2018-05-14 00:00:00.000,2018,5,"May",2018-05-01 00:00:00.000,2,"2Q",20,2018-05-13 00:00:00.000,1,"Mon",0,"Workday"
2018-05-21 00:00:00.000,2018,5,"May",2018-05-01 00:00:00.000,2,"2Q",21,2018-05-20 00:00:00.000,1,"Mon",0,"Workday"
2018-05-28 00:00:00.000,2018,5,"May",2018-05-01 00:00:00.000,2,"2Q",22,2018-05-27 00:00:00.000,1,"Mon",0,"Workday"
2018-06-04 00:00:00.000,2018,6,"June",2018-06-01 00:00:00.000,2,"2Q",23,2018-06-03 00:00:00.000,1,"Mon",0,"Workday"
2018-06-11 00:00:00.000,2018,6,"June",2018-06-01 00:00:00.000,2,"2Q",24,2018-06-10 00:00:00.000,1,"Mon",0,"Workday"
2018-06-18 00:00:00.000,2018,6,"June",2018-06-01 00:00:00.000,2,"2Q",25,2018-06-17 00:00:00.000,1,"Mon",0,"Workday"
2018-06-25 00:00:00.000,2018,6,"June",2018-06-01 00:00:00.000,2,"2Q",26,2018-06-24 00:00:00.000,1,"Mon",0,"Workday"
2019-04-01 00:00:00.000,2019,4,"April",2019-04-01 00:00:00.000,2,"2Q",14,2019-03-31 00:00:00.000,1,"Mon",0,"Workday"
2019-04-08 00:00:00.000,2019,4,"April",2019-04-01 00:00:00.000,2,"2Q",15,2019-04-07 00:00:00.000,1,"Mon",0,"Workday"
2019-04-15 00:00:00.000,2019,4,"April",2019-04-01 00:00:00.000,2,"2Q",16,2019-04-14 00:00:00.000,1,"Mon",0,"Workday"
2019-04-22 00:00:00.000,2019,4,"April",2019-04-01 00:00:00.000,2,"2Q",17,2019-04-21 00:00:00.000,1,"Mon",0,"Workday"
2019-04-29 00:00:00.000,2019,4,"April",2019-04-01 00:00:00.000,2,"2Q",18,2019-04-28 00:00:00.000,1,"Mon",0,"Workday"
2019-05-06 00:00:00.000,2019,5,"May",2019-05-01 00:00:00.000,2,"2Q",19,2019-05-05 00:00:00.000,1,"Mon",0,"Workday"
2019-05-13 00:00:00.000,2019,5,"May",2019-05-01 00:00:00.000,2,"2Q",20,2019-05-12 00:00:00.000,1,"Mon",0,"Workday"
2019-05-20 00:00:00.000,2019,5,"May",2019-05-01 00:00:00.000,2,"2Q",21,2019-05-19 00:00:00.000,1,"Mon",0,"Workday"
2019-05-27 00:00:00.000,2019,5,"May",2019-05-01 00:00:00.000,2,"2Q",22,2019-05-26 00:00:00.000,1,"Mon",0,"Workday"
2019-06-03 00:00:00.000,2019,6,"June",2019-06-01 00:00:00.000,2,"2Q",23,2019-06-02 00:00:00.000,1,"Mon",0,"Workday"
2019-06-10 00:00:00.000,2019,6,"June",2019-06-01 00:00:00.000,2,"2Q",24,2019-06-09 00:00:00.000,1,"Mon",0,"Workday"
2019-06-17 00:00:00.000,2019,6,"June",2019-06-01 00:00:00.000,2,"2Q",25,2019-06-16 00:00:00.000,1,"Mon",0,"Workday"
2019-06-24 00:00:00.000,2019,6,"June",2019-06-01 00:00:00.000,2,"2Q",26,2019-06-23 00:00:00.000,1,"Mon",0,"Workday"
2020-04-06 00:00:00.000,2020,4,"April",2020-04-01 00:00:00.000,2,"2Q",15,2020-04-05 00:00:00.000,1,"Mon",0,"Workday"
2020-04-13 00:00:00.000,2020,4,"April",2020-04-01 00:00:00.000,2,"2Q",16,2020-04-12 00:00:00.000,1,"Mon",0,"Workday"
2020-04-20 00:00:00.000,2020,4,"April",2020-04-01 00:00:00.000,2,"2Q",17,2020-04-19 00:00:00.000,1,"Mon",0,"Workday"
2020-04-27 00:00:00.000,2020,4,"April",2020-04-01 00:00:00.000,2,"2Q",18,2020-04-26 00:00:00.000,1,"Mon",0,"Workday"
2020-05-04 00:00:00.000,2020,5,"May",2020-05-01 00:00:00.000,2,"2Q",19,2020-05-03 00:00:00.000,1,"Mon",0,"Workday"
2020-05-11 00:00:00.000,2020,5,"May",2020-05-01 00:00:00.000,2,"2Q",20,2020-05-10 00:00:00.000,1,"Mon",0,"Workday"
2020-05-18 00:00:00.000,2020,5,"May",2020-05-01 00:00:00.000,2,"2Q",21,2020-05-17 00:00:00.000,1,"Mon",0,"Workday"
2020-05-25 00:00:00.000,2020,5,"May",2020-05-01 00:00:00.000,2,"2Q",22,2020-05-24 00:00:00.000,1,"Mon",0,"Workday"
2020-06-01 00:00:00.000,2020,6,"June",2020-06-01 00:00:00.000,2,"2Q",23,2020-05-31 00:00:00.000,1,"Mon",0,"Workday"
2020-06-08 00:00:00.000,2020,6,"June",2020-06-01 00:00:00.000,2,"2Q",24,2020-06-07 00:00:00.000,1,"Mon",0,"Workday"
2020-06-15 00:00:00.000,2020,6,"June",2020-06-01 00:00:00.000,2,"2Q",25,2020-06-14 00:00:00.000,1,"Mon",0,"Workday"
2020-06-22 00:00:00.000,2020,6,"June",2020-06-01 00:00:00.000,2,"2Q",26,2020-06-21 00:00:00.000,1,"Mon",0,"Workday"
2020-06-29 00:00:00.000,2020,6,"June",2020-06-01 00:00:00.000,2,"2Q",27,2020-06-28 00:00:00.000,1,"Mon",0,"Workday"
2021-04-05 00:00:00.000,2021,4,"April",2021-04-01 00:00:00.000,2,"2Q",15,2021-04-04 00:00:00.000,1,"Mon",0,"Workday"
2021-04-12 00:00:00.000,2021,4,"April",2021-04-01 00:00:00.000,2,"2Q",16,2021-04-11 00:00:00.000,1,"Mon",0,"Workday"
2021-04-19 00:00:00.000,2021,4,"April",2021-04-01 00:00:00.000,2,"2Q",17,2021-04-18 00:00:00.000,1,"Mon",0,"Workday"
2021-04-26 00:00:00.000,2021,4,"April",2021-04-01 00:00:00.000,2,"2Q",18,2021-04-25 00:00:00.000,1,"Mon",0,"Workday"
2021-05-03 00:00:00.000,2021,5,"May",2021-05-01 00:00:00.000,2,"2Q",19,2021-05-02 00:00:00.000,1,"Mon",0,"Workday"
2021-05-10 00:00:00.000,2021,5,"May",2021-05-01 00:00:00.000,2,"2Q",20,2021-05-09 00:00:00.000,1,"Mon",0,"Workday"
2021-05-17 00:00:00.000,2021,5,"May",2021-05-01 00:00:00.000,2,"2Q",21,2021-05-16 00:00:00.000,1,"Mon",0,"Workday"
2021-05-24 00:00:00.000,2021,5,"May",2021-05-01 00:00:00.000,2,"2Q",22,2021-05-23 00:00:00.000,1,"Mon",0,"Workday"
2021-05-31 00:00:00.000,2021,5,"May",2021-05-01 00:00:00.000,2,"2Q",23,2021-05-30 00:00:00.000,1,"Mon",0,"Workday"
2021-06-07 00:00:00.000,2021,6,"June",2021-06-01 00:00:00.000,2,"2Q",24,2021-06-06 00:00:00.000,1,"Mon",0,"Workday"
2021-06-14 00:00:00.000,2021,6,"June",2021-06-01 00:00:00.000,2,"2Q",25,2021-06-13 00:00:00.000,1,"Mon",0,"Workday"
2021-06-21 00:00:00.000,2021,6,"June",2021-06-01 00:00:00.000,2,"2Q",26,2021-06-20 00:00:00.000,1,"Mon",0,"Workday"
2021-06-28 00:00:00.000,2021,6,"June",2021-06-01 00:00:00.000,2,"2Q",27,2021-06-27 00:00:00.000,1,"Mon",0,"Workday"
2022-04-04 00:00:00.000,2022,4,"April",2022-04-01 00:00:00.000,2,"2Q",15,2022-04-03 00:00:00.000,1,"Mon",0,"Workday"
2022-04-11 00:00:00.000,2022,4,"April",2022-04-01 00:00:00.000,2,"2Q",16,2022-04-10 00:00:00.000,1,"Mon",0,"Workday"
2022-04-18 00:00:00.000,2022,4,"April",2022-04-01 00:00:00.000,2,"2Q",17,2022-04-17 00:00:00.000,1,"Mon",0,"Workday"
2022-04-25 00:00:00.000,2022,4,"April",2022-04-01 00:00:00.000,2,"2Q",18,2022-04-24 00:00:00.000,1,"Mon",0,"Workday"
2022-05-02 00:00:00.000,2022,5,"May",2022-05-01 00:00:00.000,2,"2Q",19,2022-05-01 00:00:00.000,1,"Mon",0,"Workday"
2022-05-09 00:00:00.000,2022,5,"May",2022-05-01 00:00:00.000,2,"2Q",20,2022-05-08 00:00:00.000,1,"Mon",0,"Workday"
2022-05-16 00:00:00.000,2022,5,"May",2022-05-01 00:00:00.000,2,"2Q",21,2022-05-15 00:00:00.000,1,"Mon",0,"Workday"
2022-05-23 00:00:00.000,2022,5,"May",2022-05-01 00:00:00.000,2,"2Q",22,2022-05-22 00:00:00.000,1,"Mon",0,"Workday"
2022-05-30 00:00:00.000,2022,5,"May",2022-05-01 00:00:00.000,2,"2Q",23,2022-05-29 00:00:00.000,1,"Mon",0,"Workday"
2022-06-06 00:00:00.000,2022,6,"June",2022-06-01 00:00:00.000,2,"2Q",24,2022-06-05 00:00:00.000,1,"Mon",0,"Workday"
2022-06-13 00:00:00.000,2022,6,"June",2022-06-01 00:00:00.000,2,"2Q",25,2022-06-12 00:00:00.000,1,"Mon",0,"Workday"
2022-06-20 00:00:00.000,2022,6,"June",2022-06-01 00:00:00.000,2,"2Q",26,2022-06-19 00:00:00.000,1,"Mon",0,"Workday"
2022-06-27 00:00:00.000,2022,6,"June",2022-06-01 00:00:00.000,2,"2Q",27,2022-06-26 00:00:00.000,1,"Mon",0,"Workday"
2023-04-03 00:00:00.000,2023,4,"April",2023-04-01 00:00:00.000,2,"2Q",14,2023-04-02 00:00:00.000,1,"Mon",0,"Workday"
2023-04-10 00:00:00.000,2023,4,"April",2023-04-01 00:00:00.000,2,"2Q",15,2023-04-09 00:00:00.000,1,"Mon",0,"Workday"
2023-04-17 00:00:00.000,2023,4,"April",2023-04-01 00:00:00.000,2,"2Q",16,2023-04-16 00:00:00.000,1,"Mon",0,"Workday"
2023-04-24 00:00:00.000,2023,4,"April",2023-04-01 00:00:00.000,2,"2Q",17,2023-04-23 00:00:00.000,1,"Mon",0,"Workday"
2023-05-01 00:00:00.000,2023,5,"May",2023-05-01 00:00:00.000,2,"2Q",18,2023-04-30 00:00:00.000,1,"Mon",0,"Workday"
2023-05-08 00:00:00.000,2023,5,"May",2023-05-01 00:00:00.000,2,"2Q",19,2023-05-07 00:00:00.000,1,"Mon",0,"Workday"
2023-05-15 00:00:00.000,2023,5,"May",2023-05-01 00:00:00.000,2,"2Q",20,2023-05-14 00:00:00.000,1,"Mon",0,"Workday"
2023-05-22 00:00:00.000,2023,5,"May",2023-05-01 00:00:00.000,2,"2Q",21,2023-05-21 00:00:00.000,1,"Mon",0,"Workday"
2023-05-29 00:00:00.000,2023,5,"May",2023-05-01 00:00:00.000,2,"2Q",22,2023-05-28 00:00:00.000,1,"Mon",0,"Workday"
